"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Wade, Tyler","642180","2022","32","33","10",".218",".272",".274","8","3","1","12",".212",
"White, Eli","642201","2022","21","41","11",".200",".305",".290","12","0","0","9",".183",
"Mejia, Francisco","642336","2022","70","65","7",".242",".381",".292","0","6","2","20",".242",
"Siri, Jose","642350","2022","64","108","20",".213",".339",".305","14","3","3","20",".207",
"Rosario, Amed","642708","2022","180","111","25",".283",".403",".326","18","19","4","80",".276",
"Adames, Willy","642715","2022","134","166","49",".238",".458",".278","8","11","1","32",".238",
"Alcantara, Sergio","642727","2022","45","57","12",".220",".356",".267","1","6","1","16",".209",
"Estrada, Thairo","642731","2022","127","89","33",".260",".400",".290","21","10","14","46",".246",
"Wynns, Austin","642851","2022","42","38","10",".259",".358",".320","0","9","3","16",".223",
"Benintendi, Andrew","643217","2022","140","77","52",".304",".399",".352","8","7","2","57",".273",
"Cooper, Garrett","643265","2022","108","119","40",".261",".415",".340","0","6","10","30",".260",
"Dubon, Mauricio","643289","2022","52","30","13",".214",".313",".221","2","7","1","20",".240",
"Jansen, Danny","643376","2022","56","44","25",".260",".516",".255","1","1","3","15",".261",
"Kemp, Tony","643393","2022","117","69","45",".235",".334",".259","11","5","8","40",".219",
"Kiner-Falefa, Isiah","643396","2022","126","72","35",".261",".327",".296","22","13","5","59",".262",
"McNeil, Jeff","643446","2022","174","61","40",".326",".454",".353","4","6","11","66",".280",
"Schwindel, Frank","643524","2022","62","58","19",".229",".358",".261","0","12","0","23",".230",
"Chang, Yu","644374","2022","35","59","16",".208",".315",".290","0","5","4","13",".213",
"Albies, Ozzie","645277","2022","61","47","16",".247",".409",".270","3","0","2","20",".236",
"Robles, Victor","645302","2022","82","104","17",".224",".311",".292","15","3","9","35",".203",
"Herrera, Jose","645444","2022","21","34","9",".189",".207",".273","0","1","0","13",".152",
"Ford, Mike","645801","2022","27","40","17",".206",".313",".273","0","1","1","6",".210",
"Devers, Rafael","646240","2022","164","114","50",".295",".521",".329","3","14","6","48",".282",
"Naylor, Josh","647304","2022","115","80","38",".256",".452",".268","6","13","6","36",".257",
"Toro, Abraham","647351","2022","60","65","22",".185",".324",".198","2","4","2","13",".226",
"Diaz, Aledmys","649557","2022","74","53","18",".243",".403",".256","1","7","2","24",".261",
"Urias, Luis","649966","2022","97","99","50",".239",".404",".274","1","9","11","23",".238",
"Diaz, Lewin","650331","2022","27","54","11",".169",".287",".214","1","3","1","5",".167",
"Arraez, Luis","650333","2022","173","43","50",".316",".420",".331","4","6","3","49",".288",
"Jimenez, Eloy","650391","2022","86","72","28",".295",".500",".337","0","8","3","34",".266",
"Torres, Gleyber","650402","2022","135","129","39",".257",".451",".295","10","12","3","38",".244",
"Castro, Willi","650489","2022","88","82","15",".241",".367",".288","9","4","8","30",".261",
"Diaz, Yandy","650490","2022","140","60","78",".296",".423",".323","3","10","6","65",".288",
"De La Cruz, Bryan","650559","2022","83","90","19",".252",".432",".304","4","8","2","19",".287",
"Rengifo, Luis","650859","2022","129","79","17",".264",".429",".285","6","11","4","50",".254",
"Adams, Riley","656180","2022","25","46","12",".176",".310",".220","0","2","1","8",".197",
"Allen, Greg","656185","2022","22","42","10",".186",".271",".267","8","2","2","11",".176",
"Chapman, Matt","656305","2022","123","170","68",".229",".433",".277","2","7","10","37",".234",
"Chavis, Michael","656308","2022","92","126","19",".229",".389",".294","1","4","2","37",".217",
"Fairchild, Stuart","656413","2022","24","34","8",".247",".464",".328","0","1","5","8",".221",
"Hilliard, Sam","656541","2022","32","57","23",".184",".264",".256","5","2","1","13",".216",
"Hoskins, Rhys","656555","2022","145","169","72",".246",".462",".292","2","12","6","34",".239",
"Joe, Connor","656582","2022","96","97","55",".238",".359",".296","6","8","7","33",".241",
"Luplow, Jordan","656669","2022","36","60","25",".176",".361",".185","5","5","3","12",".198",
"McKinstry, Zach","656716","2022","33","52","16",".199",".361",".257","7","0","1","4",".229",
"Mullins II, Cedric","656775","2022","157","126","47",".258",".403",".299","34","4","9","61",".232",
"O'Hearn, Ryan","656811","2022","32","35","8",".239",".321",".313","0","2","2","11",".274",
"Rivera, Emmanuel","656896","2022","77","83","23",".233",".409",".275","1","8","5","25",".238",
"Schwarber, Kyle","656941","2022","126","200","86",".218",".504",".240","10","10","4","21",".237",
"Smith, Pavin","656976","2022","54","67","28",".220",".367",".262","1","2","1","20",".213",
"Thomas, Lane","657041","2022","120","132","41",".241",".404",".291","8","8","4","46",".222",
"Verdugo, Alex","657077","2022","166","86","42",".280",".405",".309","1","14","3","54",".278",
"DeJong, Paul","657557","2022","33","79","21",".157",".286",".213","3","2","4","6",".182",
"Laureano, Ramon","657656","2022","73","104","25",".211",".376",".262","11","6","12","24",".219",
"Papierski, Michael","657709","2022","13","26","10",".143",".187",".188","0","4","0","2",".171",
"Sheets, Gavin","657757","2022","91","86","27",".241",".411",".272","0","9","3","35",".224",
"Olivares, Edward","658668","2022","46","36","10",".286",".410",".344","2","1","2","17",".288",
"Moncada, Yoan","660162","2022","84","114","32",".212",".353",".265","2","5","2","19",".220",
"Ohtani, Shohei","660271","2022","160","161","72",".273",".519",".320","11","6","5","48",".275",
"Tsutsugo, Yoshi","660294","2022","29","50","19",".171",".229",".221","0","3","0","11",".197",
"Castillo, Diego","660636","2022","54","75","14",".206",".382",".239","1","7","3","17",".224",
"Brujan, Vidal","660644","2022","24","37","12",".163",".259",".193","5","2","1","10",".186",
"Garcia, Dermis","660650","2022","24","55","8",".207",".388",".339","0","1","1","9",".167",
"Acuna Jr., Ronald","660670","2022","124","126","53",".266",".413",".331","29","8","10","44",".272",
"Ruiz, Keibert","660688","2022","99","50","30",".251",".360",".271","6","9","6","23",".277",
"Montero, Elehuris","660707","2022","41","60","8",".233",".432",".318","0","4","1","9",".213",
"Gonzalez, Oscar","660757","2022","107","75","15",".296",".461",".345","1","6","3","38",".279",
"Yepez, Juan","660766","2022","64","61","16",".253",".447",".283","0","6","1","17",".216",
"Sanchez, Jesus","660821","2022","67","92","26",".214",".403",".258","1","7","3","20",".226",
"Contreras, William","661388","2022","93","104","39",".278",".506",".344","2","5","1","39",".243",
"Serven, Brian","661531","2022","38","44","13",".203",".332",".232","0","7","2","7",".212",
"Varsho, Daulton","662139","2022","125","145","46",".235",".443",".269","16","8","7","39",".213",
"Nootbaar, Lars","663457","2022","66","71","51",".228",".448",".248","4","3","1","23",".247",
"Nevin, Tyler","663527","2022","31","46","20",".197",".261",".259","0","4","4","7",".214",
"Hoerner, Nico","663538","2022","135","57","28",".281",".410",".300","20","11","6","52",".270",
"Riley, Austin","663586","2022","168","168","57",".273",".528",".315","2","13","17","40",".271",
"Madrigal, Nick","663611","2022","52","27","14",".249",".282",".286","3","6","3","25",".256",
"Larnach, Trevor","663616","2022","37","57","18",".231",".406",".320","0","1","0","8",".227",
"Mountcastle, Ryan","663624","2022","139","154","43",".250",".423",".303","4","12","4","38",".277",
"McKenna, Ryan","663630","2022","37","55","11",".237",".340",".350","2","3","2","14",".210",
"Hayes, Ke'Bryan","663647","2022","123","122","48",".244",".345",".307","20","12","5","50",".250",
"Tucker, Kyle","663656","2022","140","95","59",".257",".478",".261","25","11","1","27",".262",
"India, Jonathan","663697","2022","96","94","31",".249",".378",".305","3","5","14","33",".238",
"Bart, Joey","663698","2022","56","112","26",".215",".364",".326","2","5","4","18",".210",
"Raleigh, Cal","663728","2022","78","122","38",".211",".489",".226","1","5","2","15",".216",
"Fortes, Nick","663743","2022","50","45","18",".230",".392",".252","5","5","5","17",".249",
"Grisham, Trent","663757","2022","83","150","57",".184",".341",".231","7","3","7","31",".205",
"Vierling, Matt","663837","2022","80","70","23",".246",".351",".290","7","7","3","25",".275",
"Rivas III, Alfonso","663845","2022","59","87","29",".235",".307",".344","6","1","4","27",".222",
"Gonzalez, Romy","663853","2022","25","39","2",".238",".352",".354","0","3","1","13",".228",
"Stephenson, Tyler","663886","2022","53","47","12",".319",".482",".409","1","4","3","17",".260",
"Williams, Luke","663897","2022","30","44","9",".236",".315",".354","11","1","0","12",".198",
"Rodgers, Brendan","663898","2022","140","101","46",".266",".408",".304","0","25","3","57",".265",
"Lowe, Nathaniel","663993","2022","179","147","48",".302",".492",".363","2","10","4","64",".275",
"Happ, Ian","664023","2022","155","149","58",".271",".440",".336","9","11","6","55",".239",
"France, Ty","664034","2022","151","94","35",".274",".436",".296","0","18","21","58",".262",
